time,w1,w2,w3
1,111.1,103.7,120.2
2,98.2,117.7,107.6
3,98.1,103.1,95.7
4,97.8,95.9,95.8
5,97.7,95.9,95.9
6,97.5,96.0,95.9
7,97.4,96.1,95.9
8,97.3,96.1,95.9
9,97.2,96.0,95.8
10,97.0,96.0,95.9
11,96.9,96.1,96.1
12,96.9,96.1,96.0
13,96.7,96.2,96.0
14,96.7,96.1,96.1
15,96.7,96.0,96.0
16,96.5,96.0,96.0
17,96.5,96.2,96.2
18,96.6,96.1,96.2
19,96.6,96.1,96.2
20,96.5,96.2,96.2
21,96.5,96.2,96.0
22,96.4,96.2,96.1
23,96.4,96.2,96.2
24,96.4,96.2,96.1
25,96.4,96.1,96.1
26,96.4,96.1,96.1
27,96.3,96.0,96.0
28,96.2,96.0,96.1
29,96.2,96.1,96.2
30,96.3,96.0,96.2
31,96.4,96.1,96.3
32,96.3,96.1,96.2
33,96.2,96.0,96.2
34,96.2,96.1,96.3
35,96.3,96.3,96.3
36,96.3,96.2,96.5
37,96.2,96.2,96.6
38,96.2,96.1,96.4
39,96.1,96.1,96.4
40,96.2,96.3,96.4
41,96.2,96.2,96.3
42,96.2,96.2,96.3
43,96.2,96.1,96.3
44,96.2,96.0,96.2
45,96.1,96.2,96.1
46,96.1,96.2,96.2
47,96.0,96.1,96.2
48,96.0,96.0,96.2
49,96.0,96.1,96.2
50,96.1,96.0,95.9
51,96.0,96.1,96.0
52,96.0,96.2,96.0
53,96.1,96.1,96.1
54,96.0,96.1,96.2
55,96.1,96.2,96.2
56,96.1,96.1,96.1
57,96.1,96.3,96.2
58,96.1,96.2,96.2
59,96.1,96.1,96.2
60,96.2,96.1,96.2
61,96.2,96.0,96.2
62,96.2,96.0,96.5
63,96.1,96.1,96.4
64,96.2,96.1,96.4
65,96.2,96.0,96.4
66,96.3,96.1,96.3
67,96.3,96.0,96.2
68,96.1,96.1,96.2
69,96.1,96.2,96.2
70,96.2,96.0,96.2
