time,w1,w2,w3
1,111.1,96.3,96.0
2,98.2,116.9,116.9
3,98.1,116.8,116.8
4,97.8,116.6,116.9
5,97.7,116.5,117.0
6,97.5,116.6,117.1
7,97.4,116.6,117.1
8,97.3,99.4,117.1
9,97.2,98.9,117.1
10,97.0,98.6,117.1
11,96.9,98.2,117.0
12,96.9,97.9,117.0
13,96.7,97.8,117.2
14,96.7,97.5,106.8
15,96.7,97.2,106.2
16,96.5,97.1,99.8
17,96.5,96.9,99.7
18,96.6,96.8,99.2
19,96.6,96.8,99.1
20,96.5,96.7,98.8
21,96.5,96.5,98.5
22,96.4,96.4,98.2
23,96.4,96.4,98.0
24,96.4,96.4,97.6
25,96.4,96.5,97.4
26,96.4,96.4,97.3
27,96.3,96.2,97.3
28,96.2,96.2,97.2
29,96.2,96.1,97.0
30,96.3,96.2,97.0
31,96.4,96.2,96.8
32,96.3,96.3,96.6
33,96.2,96.2,96.5
34,96.2,96.2,96.6
35,96.3,96.1,96.7
36,96.3,96.2,96.6
37,96.2,96.2,96.5
38,96.2,96.1,96.4
39,96.1,96.0,96.4
40,96.2,96.0,96.5
41,96.2,95.9,96.4
42,96.2,96.1,96.4
43,96.2,96.1,96.4
44,96.2,96.0,96.3
45,96.1,96.0,96.4
46,96.1,96.0,96.5
47,96.0,95.8,96.4
48,96.0,96.0,96.3
49,96.0,96.1,96.4
50,96.1,95.9,96.2
51,96.0,95.9,96.3
52,96.0,95.9,96.4
53,96.1,95.8,96.2
54,96.0,96.0,96.3
55,96.1,96.0,96.3
56,96.1,95.9,96.3
57,96.1,96.0,96.3
58,96.1,96.0,96.2
59,96.1,95.9,96.2
60,96.2,96.0,96.2
61,96.2,96.0,96.1
62,96.2,96.0,96.1
63,96.1,95.9,96.1
64,96.2,95.9,96.1
65,96.2,95.8,96.2
66,96.3,95.9,96.1
67,96.3,96.3,96.0
68,96.1,96.3,96.0
69,96.1,96.3,96.2
70,96.2,96.2,96.2
71,96.3,96.3,96.2
72,96.4,96.4,96.3
73,96.3,96.4,96.1
74,96.2,96.4,96.1
75,96.2,96.4,96.2
76,96.4,96.4,96.2
77,96.3,96.4,96.3
78,96.5,96.6,96.3
79,96.4,96.6,96.2
80,96.3,96.6,96.3
81,96.4,96.6,96.3
82,96.3,96.5,96.2
83,96.3,96.5,96.2
84,96.5,96.6,96.1
85,96.4,96.6,96.1
86,96.4,96.5,96.2
87,96.4,96.4,96.2
88,96.4,96.3,96.2
89,96.4,96.3,96.1
90,96.6,96.3,96.0
91,96.6,96.2,96.1
92,96.4,96.2,96.2
93,96.4,96.1,96.2
94,96.3,96.0,96.3
95,96.3,96.0,96.2
96,96.5,96.2,96.1
97,96.4,96.0,96.1
98,96.3,96.0,96.1
99,96.2,96.0,96.1
100,96.1,96.0,96.1
101,96.2,95.9,96.1
102,96.4,96.1,96.1
103,96.2,96.1,96.2
104,96.3,96.1,96.3
105,96.3,96.1,96.3
106,96.2,96.1,96.3
107,96.2,96.1,96.3
108,96.2,96.1,96.1
