time,w1,w2,w3
1,103.7,95.6,110.7
2,117.7,117.3,110.7
3,103.1,117.1,115.8
4,95.9,117.0,115.7
5,95.9,116.8,115.7
6,96.0,116.7,115.7
7,96.1,116.7,116.0
8,96.1,104.1,116.1
9,96.0,96.8,116.1
10,96.0,96.7,116.0
11,96.1,96.6,116.0
12,96.1,96.5,116.0
13,96.2,96.5,116.1
14,96.1,96.5,116.2
15,96.0,96.5,116.1
16,96.0,96.5,115.8
17,96.2,96.4,101.5
18,96.1,96.4,101.2
19,96.1,96.3,100.7
20,96.2,96.3,100.2
21,96.2,96.4,99.6
22,96.2,96.3,99.3
23,96.2,96.2,99.1
24,96.2,96.3,98.7
25,96.1,96.3,98.6
26,96.1,96.3,98.3
27,96.0,96.5,98.0
28,96.0,96.3,97.8
29,96.1,96.3,97.6
30,96.0,96.2,97.5
31,96.1,96.1,97.4
32,96.1,96.1,97.2
33,96.0,96.1,97.0
34,96.1,96.0,96.9
35,96.3,96.0,96.9
36,96.2,96.0,96.9
37,96.2,96.0,96.9
38,96.1,96.0,96.8
39,96.1,96.0,96.7
40,96.3,95.9,96.6
41,96.2,95.9,96.5
42,96.2,95.8,96.6
43,96.1,96.0,96.6
44,96.0,96.2,96.5
45,96.2,96.0,96.5
46,96.2,96.0,96.5
47,96.1,96.0,96.4
48,96.0,96.0,96.4
49,96.1,96.2,96.4
50,96.0,96.3,96.2
51,96.1,96.2,96.3
52,96.2,96.1,96.2
53,96.1,96.1,96.1
54,96.1,96.0,96.4
55,96.2,96.1,96.4
56,96.1,96.2,96.3
57,96.3,96.1,96.3
58,96.2,96.1,96.4
59,96.1,96.1,96.4
60,96.1,96.0,96.6
61,96.0,96.0,96.5
62,96.0,96.1,96.3
63,96.1,96.0,96.3
64,96.1,96.0,96.3
65,96.0,95.9,96.3
66,96.1,95.8,96.2
67,96.0,95.9,96.4
68,96.1,96.1,96.4
69,96.2,96.0,96.6
70,96.0,95.9,96.5
71,96.0,95.8,96.8
72,96.0,95.8,96.7
73,95.9,95.9,96.7
74,96.0,95.9,96.8
75,96.0,95.9,96.8
76,95.9,95.8,96.7
77,96.0,95.7,96.9
78,96.1,96.0,96.9
79,96.0,96.0,96.8
80,96.1,96.0,96.8
81,96.2,96.0,96.7
82,96.0,96.0,96.6
83,96.1,95.9,96.9
84,96.0,96.1,96.8
85,95.9,96.2,96.7
86,96.0,96.1,96.6
87,96.1,96.2,96.6
88,96.0,96.0,96.4
89,96.0,95.9,96.5
90,96.2,95.9,96.5
91,96.1,96.1,96.3
92,96.2,96.0,96.4
93,96.3,95.9,96.2
94,96.1,95.9,96.2
95,96.1,95.9,96.5
96,96.0,96.1,96.5
97,96.0,96.1,96.4
98,95.9,95.9,96.4
99,95.9,96.0,96.3
100,96.0,95.9,96.3
101,96.0,95.9,96.3
102,95.9,96.0,96.4
103,95.9,95.9,96.4
104,96.0,96.0,96.4
105,96.1,96.0,96.4
106,96.3,96.1,96.5
107,96.3,96.1,96.5
108,96.2,96.1,96.5
109,96.1,96.0,96.5
110,96.3,95.9,96.5
111,96.2,95.9,96.4
112,96.1,95.9,96.3
113,96.1,96.0,96.4
114,96.0,95.9,96.4
