time,w1,w2,w3
1,95.5,95.7,94.4
2,95.5,95.6,94.7
3,95.5,95.5,94.7
4,95.4,95.6,94.8
5,95.3,95.6,94.9
6,95.2,95.5,94.9
7,95.1,95.6,94.9
8,95.0,95.5,94.8
9,95.0,95.4,94.7
10,95.0,95.5,94.7
11,94.9,95.4,94.8
12,94.8,95.3,95.0
13,94.8,95.2,94.9
14,94.8,95.2,94.8
15,94.8,95.1,94.6
16,94.8,95.3,94.7
17,94.7,95.3,94.8
18,94.8,95.2,94.8
19,94.6,95.1,94.8
20,94.7,95.0,94.7
21,94.8,95.0,94.7
22,94.7,95.1,94.8
23,94.6,95.2,94.9
24,94.6,95.1,94.8
25,94.6,95.0,94.7
26,94.5,95.0,94.7
27,94.7,95.0,94.8
28,94.7,95.1,94.8
29,94.6,95.1,94.9
30,94.5,95.2,94.8
31,94.6,95.2,94.8
32,94.6,95.3,94.9
33,94.6,95.2,94.8
34,94.6,95.3,94.8
35,94.6,95.3,94.9
36,94.6,95.3,94.8
37,94.6,95.2,94.9
38,94.7,95.2,94.8
39,94.7,95.1,94.7
40,94.6,95.3,94.8
41,94.6,95.3,94.8
42,94.6,95.2,94.9
43,94.6,95.2,94.8
44,94.8,95.1,94.7
45,94.7,95.1,94.7
46,94.6,95.3,94.7
47,94.7,95.2,94.7
48,94.6,95.1,94.6
49,94.6,95.1,94.6
50,94.7,95.1,94.6
51,94.7,95.1,94.6
52,94.7,95.2,94.8
53,94.5,95.2,94.8
54,94.5,95.1,94.8
55,94.6,95.3,94.7
56,94.8,95.2,94.6
57,94.7,95.2,94.8
58,107.0,95.3,94.8
59,113.6,106.2,95.3
60,94.5,115.2,115.0
61,94.5,95.3,102.5
62,94.6,95.2,95.5
63,94.6,95.2,95.3
64,94.6,95.4,95.3
65,94.6,95.3,95.3
66,94.6,95.2,95.2
67,94.6,95.1,95.5
68,94.7,95.1,95.4
69,94.7,95.0,95.3
70,94.6,95.2,95.4
71,94.6,95.2,95.5
72,94.6,95.1,95.5
73,94.7,95.1,95.4
74,94.7,95.1,95.4
75,94.7,95.0,95.4
76,94.7,95.2,95.4
77,94.6,95.2,95.6
78,94.6,95.1,95.6
79,94.5,95.1,96.2
80,94.7,95.0,96.2
81,94.6,95.2,96.1
82,94.6,95.2,96.1
83,94.5,95.2,96.1
84,94.5,95.1,96.0
85,94.5,95.0,96.1
86,94.6,95.0,96.1
87,94.6,95.1,96.1
88,94.5,95.1,96.1
89,94.5,95.1,96.0
90,94.5,95.3,96.0
91,94.6,95.2,96.0
92,94.5,95.1,95.8
93,94.6,95.3,95.9
94,94.5,95.2,95.9
95,94.5,95.1,95.7
96,94.4,95.1,95.6
97,94.5,95.1,95.7
98,94.6,95.0,95.6
99,94.5,95.2,95.7
100,94.5,95.2,95.7
101,94.5,95.1,95.6
102,94.5,95.2,95.7
103,94.5,95.2,95.7
104,94.6,95.2,95.5
105,94.4,95.3,95.4
106,94.4,95.3,95.4
107,94.5,95.2,95.3
108,94.5,95.2,95.2
109,94.6,95.1,95.1
110,94.6,95.1,95.0
111,94.6,95.3,95.0
112,94.6,95.2,95.1
113,94.6,95.2,95.0
114,94.6,95.0,94.9
115,94.6,95.0,94.8
116,94.5,95.0,94.7
117,94.6,95.1,94.9
118,94.6,95.1,94.8
119,94.5,95.1,94.7
120,94.5,95.0,94.7
121,94.6,95.0,94.6
122,94.7,95.0,94.5
123,94.7,95.2,94.5
124,94.7,95.2,94.6
125,94.6,95.1,94.6
126,94.7,95.1,94.6
127,94.7,95.1,94.6
128,94.7,95.7,94.6
129,94.7,95.8,94.5
130,94.7,95.7,94.7
131,94.6,95.6,94.7
132,94.5,95.5,94.7
133,94.6,95.6,94.6
134,94.6,95.5,94.6
135,94.6,95.7,94.6
136,94.6,95.6,94.7
137,94.6,95.5,94.9
138,94.6,95.4,94.9
139,94.8,95.4,94.9
140,94.7,95.4,94.9
141,94.7,95.5,94.9
142,94.8,95.4,94.9
143,94.8,95.5,94.9
144,94.8,95.4,95.0
145,94.8,95.4,95.0
146,94.8,95.5,94.9
147,94.7,95.5,95.0
148,94.7,95.5,94.9
149,94.7,95.5,94.8
150,94.7,95.4,94.7
151,94.6,95.3,94.7
152,94.5,95.4,94.6
153,94.6,95.4,94.7
154,94.6,95.3,94.8
155,94.5,95.3,94.7
156,94.7,95.2,94.7
157,94.6,95.1,94.6
158,94.5,95.3,94.6
159,94.5,95.2,94.7
160,94.4,95.2,94.7
161,94.4,95.2,94.7
162,94.4,95.1,94.6
163,94.4,95.0,94.6
164,94.4,95.2,94.5
165,94.4,95.3,94.5
166,94.5,95.3,94.6
167,94.9,95.1,94.6
168,95.0,95.0,94.7
169,95.0,94.9,94.9
170,95.0,95.1,94.8
171,95.0,95.1,94.8
172,95.0,95.1,94.9
173,95.2,95.0,94.8
174,95.1,95.0,94.7
175,95.1,95.1,94.6
176,95.1,95.3,94.6
177,95.2,95.2,94.7
178,95.3,95.1,94.8
179,95.3,95.1,94.7
180,95.3,95.0,94.7
181,95.2,95.1,94.7
182,95.2,95.1,94.6
183,95.1,95.1,94.7
184,95.1,95.1,94.7
185,95.1,95.1,94.7
186,95.2,95.1,94.6
187,95.3,95.2,94.6
188,95.2,95.2,94.7
189,95.2,95.1,94.7
190,95.2,95.1,94.6
191,95.3,95.0,94.6
192,95.3,95.0,94.5
193,95.2,95.1,94.4
194,95.3,95.1,94.4
