time,w1,w2,w3
1,93.6,93.0,92.9
2,94.1,92.9,92.9
3,94.0,93.1,92.8
4,93.8,93.1,92.8
5,93.7,93.0,92.9
6,93.6,93.0,93.0
7,93.6,92.9,93.1
8,93.5,92.9,93.1
9,93.4,93.0,93.0
10,93.3,93.1,93.0
11,93.3,93.0,93.2
12,93.3,93.0,93.0
13,93.3,92.9,93.0
14,93.3,92.9,92.9
15,93.2,93.0,92.9
16,93.2,93.0,92.9
17,93.1,93.0,93.0
18,93.2,92.9,93.0
19,93.3,92.9,93.0
20,93.2,92.9,92.9
21,93.3,93.0,92.9
22,93.3,93.0,92.8
23,93.3,92.9,92.8
24,93.4,92.9,93.0
25,93.4,92.9,93.0
26,93.3,92.8,92.9
27,93.2,93.0,92.9
28,93.2,93.0,92.8
29,93.2,92.9,93.0
30,93.2,92.9,93.0
31,93.1,92.9,92.9
32,93.1,92.9,92.8
33,93.1,93.1,92.8
34,93.0,93.0,92.8
35,93.0,93.0,92.9
36,93.2,92.9,92.9
37,93.2,92.9,92.9
38,93.1,93.1,92.8
39,93.1,93.2,92.9
40,93.0,93.2,93.0
41,93.1,93.1,93.1
42,93.2,93.0,93.0
43,93.1,93.0,93.0
44,93.0,93.0,92.9
45,93.0,93.0,92.9
46,93.0,93.1,92.9
47,93.1,93.0,92.9
48,93.1,93.0,92.8
49,93.0,93.0,92.8
50,93.0,93.1,92.8
51,93.0,93.0,92.8
52,93.1,93.0,92.7
53,93.2,93.0,92.8
54,93.2,93.0,92.8
55,93.2,92.9,92.8
56,93.2,92.9,92.8
57,93.3,93.0,93.0
58,93.2,93.2,93.0
59,93.3,93.2,93.0
60,93.3,93.2,92.9
61,93.3,93.4,93.5
62,99.2,101.3,101.9
63,99.3,101.5,101.8
64,99.3,101.6,101.8
65,99.7,101.6,101.8
66,99.8,101.7,101.8
67,99.8,101.7,101.7
68,99.9,101.7,101.7
69,100.1,101.9,101.9
70,100.1,102.0,101.9
71,100.2,101.9,101.9
72,100.2,102.0,101.8
73,100.2,101.9,101.7
74,100.2,101.9,101.7
75,100.2,101.7,101.8
76,100.3,101.6,101.6
77,100.4,101.5,101.5
78,100.4,101.4,101.5
79,100.3,101.6,101.9
80,100.3,96.2,101.9
81,100.3,96.2,96.4
82,100.3,96.3,96.5
83,100.2,96.4,96.5
84,100.2,96.5,96.5
85,100.2,96.4,96.6
86,100.2,96.1,96.3
87,100.2,96.3,95.9
88,100.3,96.2,95.5
89,100.3,96.1,95.2
90,100.3,95.8,95.1
91,99.9,95.6,94.9
92, ,95.6,94.6
93,99.5,95.5,94.6
94,99.2,95.3,94.6
95,98.9,95.1,94.9
96,98.8,94.9,95.2
97,98.6,94.7,95.3
98,98.3,94.5,95.0
99,97.8,94.4,94.9
100,97.6,94.4,94.7
101,97.3,94.4,94.7
102,96.9,94.7,94.7
103,96.4,94.5,94.6
104,96.0,94.3,94.4
105,95.6,94.3,94.4
106,95.5,94.2,94.3
107,95.4,94.0,94.4
108,95.6,93.9,94.3
109,95.3,93.9,94.2
110,95.0,93.7,94.1
111,94.9,93.7,94.0
112,94.7,93.6,94.0
113,94.5,93.5,94.0
114,94.3,93.6,93.9
115,94.2,93.5,93.8
116,94.1,93.6,93.8
117,94.1,93.6,93.8
118,94.0,93.5,93.8
119,94.1,93.5,94.1
120,94.4,93.8,94.2
121,94.3,94.1,94.0
122,94.2,94.0,94.0
123,94.2,94.0,93.9
124,94.0,93.9,93.7
125,94.0,93.9,94.0
126,94.0,93.9,94.1
127,93.9,93.8,94.0
128,93.8,93.7,94.0
129,93.9,93.6,93.9
130,93.8,93.5,93.9
131,93.7,93.4,94.1
132,93.6,93.4,94.0
133,93.6,93.3,93.8
134,93.7,93.3,93.8
135,93.8,93.4,93.7
136,93.7,93.4,93.7
137,93.6,93.3,94.0
138,93.7,93.2,93.9
139,93.6,93.2,93.9
140,93.6,93.2,93.8
141,93.8,93.1,93.6
142,93.7,93.1,93.7
143,93.6,93.1,93.8
144,93.5,93.0,93.6
145,93.4,93.1,93.5
146,93.4,93.1,93.4
147,93.4,93.0,93.3
148,93.4,93.0,93.2
149,93.3,93.1,93.2
150,93.2,93.0,93.1
151,93.2,93.0,93.1
152,93.2,92.9,93.1
153,93.2,93.1,93.0
154,93.2,93.1,93.0
155,93.2,93.2,93.2
156,93.2,93.2,93.1
157,93.2,93.2,93.2
158,93.2,93.2,93.1
159,93.3,93.1,93.0
160,93.3,93.1,93.0
161,93.3,93.2,93.1
162,93.2,93.2,93.1
163,93.2,93.2,93.2
164,93.3,93.1,93.1
165,93.3,93.1,93.1
166,93.3,93.1,93.1
167,93.3,93.1,93.0
168,93.4,93.1,92.9
169,93.4,93.1,92.9
170,93.3,93.0,92.9
171,93.4,93.0,92.8
172,93.4,93.0,93.0
173,93.5,93.0,93.1
174,93.4,93.0,93.1
175,93.3,93.0,93.0
176,93.2,93.0,93.0
177,93.4,93.0,93.0
178,93.4,93.1,93.1
179,93.3,93.1,93.1
180,93.4,93.1,93.2
181,93.9,93.1,93.2
182,94.4,93.0,93.0
183,94.3,93.0,93.0
184,94.2,93.0,92.9
185,94.0,93.1,93.2
186,94.1,93.2,93.1
187,94.0,93.2,93.1
188,93.8,93.3,93.1
189,93.7,93.4,93.0
190,93.7,93.5,93.0
191,93.6,93.7,93.1
192,93.5,93.6,93.1
193,93.5,93.5,93.1
194,93.4,93.5,93.0
195,93.5,93.5,93.0
196,93.5,93.7,93.2
197,93.4,93.7,93.1
198,93.4,93.7,93.1
199,93.3,93.6,93.0
200,93.3,93.6,92.9
201,93.4,93.6,92.9
202,93.3,93.6,92.9
203,93.4,93.7,92.8
204,93.6,93.8,92.7
205,93.5,93.7,92.7
206,93.5,93.7,92.7
207,93.6,93.6,92.9
208,93.6,93.6,93.0
209,93.5,93.6,93.0
210,93.5,93.6,92.9
211,93.4,93.6,92.9
212,93.4,93.6,92.9
213,93.4,93.5,92.9
214,93.3,93.5,93.1
215,93.3,93.6,93.0
216,93.3,93.5,93.0
217,93.2,93.5,92.9
