time,w1,w2,w3
1,111.7,96.3,104.8
2,123.6,121.8,122.2
3,123.7,121.9,122.2
4,123.7,122.2,122.2
5,123.6,122.1,122.2
6,123.6,122.2,122.4
7,123.4,122.2,122.6
8,123.4,122.2,122.7
9,123.6,122.4,122.6
10,123.6,122.5,122.6
11,123.5,122.7,122.7
12,110.2,122.5,122.7
13,109.7,122.4,122.7
14,109.1,122.4,114.8
15,99.8,104.1,108.2
16,99.7,103.6,102.1
17,99.6,103.2,101.5
18,99.3,102.9,101.0
19,99.2,96.8,100.6
20,99.1,96.9,100.4
21,98.9,97.0,99.9
22,98.8,96.9,99.7
23,98.7,97.1,99.4
24,98.6,97.1,99.3
25,98.8,97.3,99.6
26,98.7,97.4,99.9
27,98.5,97.5,100.0
28,98.5,97.4,100.1
29,98.3,97.4,100.1
30,98.4,97.5,100.3
31,98.5,97.5,100.4
32,98.4,97.6,100.5
33,98.3,97.6,100.5
34,98.2,97.5,100.5
35,98.0,97.5,100.4
36,98.1,97.4,100.1
37,98.2,97.4,100.0
38,98.0,97.5,99.8
39,97.9,97.7,100.0
40,97.9,97.5,99.8
41,97.9,97.5,99.6
42,98.0,97.5,99.5
43,98.0,97.4,99.2
44,97.9,97.6,99.0
45,97.9,97.5,98.8
46,98.0,97.6,98.6
47,98.0,97.5,98.4
48,98.1,97.5,98.6
49,98.0,97.4,98.5
50,97.9,97.6,98.3
51,97.9,97.6,98.2
52,98.0,97.8,98.3
53,97.8,97.7,98.3
54,98.0,97.6,98.2
55,97.9,97.5,98.3
56,97.8,97.5,98.1
57,97.7,97.5,98.0
58,97.8,97.6,98.2
59,97.7,97.6,98.0
60,98.1,97.4,98.1
61,98.5,97.4,98.1
62,98.8,97.4,97.9
63,98.8,97.4,97.9
64,98.5,97.5,97.8
65,98.5,97.5,97.8
66,98.6,97.3,97.9
67,98.4,97.3,97.8
68,98.3,97.4,97.9
69,98.1,97.4,97.8
70,97.9,97.3,97.8
71,97.9,97.3,97.8
72,97.9,97.2,97.8
73,97.8,97.2,97.6
74,97.8,97.3,97.5
75,97.8,97.3,97.5
76,97.6,97.3,97.3
77,97.6,97.3,97.5
78,97.6,97.2,97.6
79,97.6,97.1,97.4
80,97.6,97.1,97.5
81,97.6,97.3,97.5
82,97.5,97.3,97.4
83,97.4,97.2,97.4
84,97.6,97.2,97.5
85,97.7,97.2,97.4
86,97.7,97.2,97.4
87,97.8,97.5,97.6
88,97.6,97.4,97.5
89,97.7,97.3,97.4
90,97.8,97.2,97.6
91,97.9,97.2,97.5
92,98.0,97.1,97.5
93,97.9,97.4,97.8
94,97.7,97.4,97.6
95,97.8,97.2,97.5
96,98.0,97.3,97.7
97,97.9,97.3,97.5
98,97.9,97.3,97.6
99,97.8,97.4,97.5
100,98.2,97.4,97.4
101,98.3,97.3,97.6
102,98.3,97.3,97.7
103,98.3,97.3,97.5
104,98.3,97.3,97.6
105,98.2,97.5,97.6
106,98.3,97.5,97.5
107,98.3,97.4,97.7
108,98.4,97.4,97.6
109,98.4,97.6,97.6
110,98.3,97.5,97.5
111,98.3,97.7,97.4
112,98.5,97.6,97.4
113,98.4,97.5,97.6
114,98.3,97.5,97.5
115,98.4,97.4,97.5
116,98.5,97.5,97.5
117,98.4,97.5,97.6
118,98.4,97.3,97.6
119,98.4,97.4,97.7
120,98.4,97.4,97.7
121,98.5,97.3,97.7
122,98.5,97.5,97.8
123,98.3,97.8,97.8
124,98.2,97.7,97.8
125,98.2,97.7,97.9
126,98.2,97.9,97.8
127,98.4,97.7,97.7
128,98.3,97.9,97.7
129,98.2,97.9,97.6
130,98.2,97.6,97.6
131,98.2,97.5,97.8
132,98.4,97.5,97.8
133,98.4,97.4,97.6
134,98.3,97.4,97.6
135,98.3,97.6,97.5
136,98.4,97.4,97.5
137,98.4,97.5,97.6
138,98.3,97.7,97.5
139,98.4,97.5,97.5
140,98.3,97.5,97.4
141,98.3,97.6,97.3
142,98.4,97.5,97.3
143,98.2,97.5,97.4
144,98.2,97.5,97.5
145,98.3,97.3,97.6
146,98.3,97.4,97.5
147,98.3,97.4,97.5
148,98.3,97.3,97.4
149,98.2,97.3,97.5
150,98.4,97.2,97.6
151,98.4,97.2,97.6
152,98.5,97.3,97.5
153,98.4,97.2,97.6
154,98.3,97.2,97.6
155,98.1,97.2,97.7
156,98.4,97.1,97.8
157,98.4,97.4,97.7
158,98.2,97.4,97.6
159,98.2,97.4,97.6
160,98.1,97.4,97.5
161,98.0,97.4,97.4
162,98.2,97.3,97.6
163,98.1,97.4,97.7
164,97.9,97.6,97.6
165,97.8,97.6,97.5
166,97.8,97.6,97.5
167,97.9,97.6,97.6
168,98.0,97.5,97.7
169,97.9,97.4,97.7
170,97.8,97.4,97.5
171,97.8,97.4,97.6
172,97.8,97.4,97.6
173,97.7,97.3,97.7
174,97.9,97.2,97.7
175,97.8,97.2,97.7
176,97.8,97.3,97.6
177,97.8,97.4,97.7
178,97.6,97.4,97.6
179,97.6,97.3,97.8
180,97.7,97.2,97.8
181,97.7,97.2,97.7
182,97.8,97.4,97.7
183,97.8,97.6,97.7
184,97.5,97.6,97.6
185,97.5,97.5,97.8
186,97.6,97.5,97.8
187,97.7,97.6,97.7
188,97.6,97.6,97.8
189,97.6,97.7,97.9
190,97.5,97.7,97.8
191,97.5,97.5,98.0
192,97.7,97.7,98.0
193,97.6,97.8,97.7
194,97.6,97.8,97.7
195,97.6,97.9,97.7
196,97.5,97.9,97.7
197,97.6,97.7,97.8
198,97.9,97.7,97.8
199,97.7,97.8,97.7
200,97.7,97.7,97.7
201,97.7,97.9,97.7
202,97.7,97.8,97.6
203,97.7,97.7,97.6
204,97.8,98.0,97.8
205,97.7,97.9,97.7
206,97.7,97.7,97.6
207,97.7,98.0,97.5
208,97.6,98.0,97.4
209,97.6,97.9,97.5
210,97.5,98.1,97.5
211,97.6,98.0,97.4
212,97.8,98.0,97.4
213,97.6,98.1,97.3
214,97.5,97.9,97.2
215,97.4,97.8,97.4
216,97.5,97.7,97.5
217,97.7,97.6,97.4
218,97.8,97.8,97.4
219,97.7,97.8,97.2
220,97.6,97.7,97.2
221,97.7,97.8,97.3
222,97.8,97.8,97.1
223,97.9,97.6,97.2
224,97.8,97.8,97.2
225,97.6,97.9,97.2
226,97.6,97.8,97.3
227,97.7,97.9,97.4
228,97.8,97.9,97.3
229,97.8,97.8,97.5
230,97.7,97.9,97.5
231,97.6,98.0,97.3
232,97.8,97.9,97.4
233,97.7,98.1,97.5
234,97.7,98.1,97.4
235,97.7,97.9,97.4
236,97.7,97.9,97.3
237,97.7,98.0,97.2
238,97.7,97.8,97.4
239,97.5,97.8,97.5
240,97.7,97.8,97.3
241,97.7,97.7,97.3
242,97.7,98.0,97.3
243,97.6,98.0,97.2
244,97.5,97.9,97.4
245,97.3,97.8,97.4
246,97.6,97.7,97.4
247,97.7,97.6,97.4
248,97.5,97.9,97.3
249,97.4,97.7,97.2
250,97.4,97.6,97.3
251,97.3,97.6,97.3
252,97.5,97.5,97.2
253,97.4,97.5,97.2
254,97.3,97.5,97.1
255,97.3,97.5,97.2
256,97.3,97.4,97.2
257,97.3,97.4,97.2
258,97.6,97.3,97.4
259,97.5,97.3,97.4
260,97.4,97.3,97.3
261,97.4,97.3,97.2
262,97.6,97.4,97.4
263,97.6,97.5,97.4
264,97.6,97.3,97.3
265,97.6,97.3,97.3
266,97.5,97.3,97.2
267,97.7,97.2,97.4
268,97.7,97.4,97.4
269,97.5,97.3,97.3
270,97.7,97.1,97.3
271,97.5,97.1,97.3
272,97.6,97.1,97.2
273,97.6,97.2,97.4
274,97.3,97.2,97.4
275,97.3,97.1,97.3
276,97.5,97.1,97.3
277,97.5,97.1,97.3
278,97.5,97.1,97.2
279,97.4,97.1,97.3
280,97.2,97.0,97.7
281,97.5,97.0,98.2
282,97.7,96.9,98.1
283,97.5,96.8,97.8
284,97.5,96.9,97.8
285,97.4,97.1,97.9
286,97.3,97.2,97.8
287,97.5,103.9,97.7
288,97.5,103.3,97.8
289,97.4,97.2,97.6
290,97.4,97.1,97.6
291,97.4,97.3,97.6
292,97.4,97.3,97.4
293,97.7,97.3,97.4
